Регион,Страна,Значение
Океания,Папуа - Новая Гвинея,55
Океания,Новая Зеландия,63
Океания,Тонга,74
Океания,Соломоновы Острова,80
Каррибы,Аруба,8
Каррибы,Тринидад и Тобаго,9
Каррибы,Пуэрто Рико,17
Каррибы,Доминиканская Республика,19
Каррибы,Барбадос,21
Каррибы,Виргинские острова,21
Каррибы,Куба,22
Каррибы,Ангилья,25
Каррибы,Тёркс и Кайкос,29
Каррибы,Нидерландские Антилы,33
Каррибы,Сент-Люсия,38
Каррибы,Доминика,50
Каррибы,Мартиника,53
Каррибы,Гваделупа,55
Каррибы,Каймановы острова,56
Каррибы,Багамы,60
Каррибы,Остров Святого Мартина,60
Каррибы,Монтсеррат,65
Каррибы,Гаити,74
Каррибы,Сент-Китс и Невис,74
Каррибы,Антигуа и Барбуда,85
Каррибы,Ямайка,88
Каррибы,Бермуды,89
Каррибы,Британские Виргинские острова,89
Каррибы,Гренада,98
Центральная Америка,Коста-Рика,22
Центральная Америка,Гондурас,44
Центральная Америка,Белиз,52
Центральная Америка,Сальвадор,64
Центральная Америка,Никарагуа,80
Центральная Америка,Гватемала,90
Центральная Америка,Панама,90
Восточная Азия,Корея (Кндр),7
Восточная Азия,Тайвань,15
Восточная Азия,Корея,25
Восточная Азия,Китай,37
Восточная Азия,Гонконг,73
Восточная Азия,Монголия,78
Восточная Азия,Япония,92
Ближний Восток,Иран,1
Ближний Восток,Сирия,4
Ближний Восток,Израиль,14
Ближний Восток,Саудовская Аравия,15
Ближний Восток,Ливан,30
Ближний Восток,ОАЭ,36
Ближний Восток,Оман,37
Ближний Восток,Катар,42
Ближний Восток,Палестина,52
Ближний Восток,Турция,58
Ближний Восток,Кувейт,60
Ближний Восток,Ирак,63
Ближний Восток,Йемен,86
Ближний Восток,Бахрейн,91
Ближний Восток,Иордания,94
Северная Африка,Марокко,8
Северная Африка,Египет,33
Северная Африка,Алжир,75
Северная Африка,Ливия,79
Северная Африка,Тунис,87
Северная Америка,Мексика,2
Северная Америка,Канада,6
Северная Америка,США,9
Северная Америка,Гренландия,11
Юго-восточная Азия,Сингапур,12
Юго-восточная Азия,Бруней,16
Юго-восточная Азия,Вьетнам,37
Юго-восточная Азия,Малайзия,46
Юго-восточная Азия,Таиланд,49
Юго-восточная Азия,Камбоджа,52
Юго-восточная Азия,Лаос,76
Юго-восточная Азия,Восточный Тимор,80
Юго-восточная Азия,Мьянма,86
Юго-восточная Азия,Филиппины,93
Юго-восточная Азия,Индонезия,98
Сахара,Малави,7
Сахара,Южная Африка,7
Сахара,Мозамбик,11
Сахара,Уганда,13
Сахара,Мали,14
Сахара,Зимбабве,14
Сахара,Судан,15
Сахара,Ангола,16
Сахара,Сьерра-Леоне,19
Сахара,Буркина-Фасо,20
Сахара,Мадагаскар,21
Сахара,Эфиопия,22
Сахара,Замбия,24
Сахара,Кабо-Верде,26
Сахара,Свазиленд,27
Сахара,Нигер,28
Сахара,Бенин,29
Сахара,Габон,29
Сахара,Экваториальная Гвинея,30
Сахара,Конго (Браззавиль),36
Сахара,Гвинея-Бисау,36
Сахара,Центральноафриканская Республика,39
Сахара,Западная Сахара,39
Сахара,Сенегал,40
Сахара,Бурунди,44
Сахара,Мавритания,49
Сахара,Гана,53
Сахара,Руанда,54
Сахара,Гвинея,55
Сахара,Либерия,55
Сахара,Эритрея,56
Сахара,Камерун,61
Сахара,Танзания,62
Сахара,Кот-д’Ивуар,63
Сахара,Конго (Киншаса),64
Сахара,Ботсвана,74
Сахара,Нигерия,74
Сахара,Того,75
Сахара,Намибия,77
Сахара,Джибути,78
Сахара,Маврикий,81
Сахара,Коморы,83
Сахара,Чад,92
Сахара,Кения,93
Сахара,Лесото,94
Сахара,Сомали,95
Сахара,Гамбия,96
